ALXN
GIS
K
LEN
SPGI
AIV
AVY
PKI
PPG
RF
AXP
CI
IRM
WEC
PM
PFG
SNA
BRK-B
BLK
EA
ESRX
OXY
UA
DUK
ULTA
HAS
TROW
FLIR
MAT
OI
XL
EMN
KIM
AA
PNW
PRU
DGX
AAPL
ALL
CSCO
CLX
TSN
BMY
CMG
XOM
FRT
ADI
MCHP
YHOO
F
PHM
VNO
FTV
KORS
JNPR
ROP
SYY
TEL
AGN
CHRW
EQR
RTN
SPG
NUE
ZBH
FFIV
GILD
HOLX
NLSN
AMGN
CCL
OKE
QCOM
LM
NOV
PNC
ANTM
JPM
MNST
NTRS
SCG
CINF
EOG
PVH
HOT
WFC
FTI
SYK
HSY
TWX
HAR
PRGO
HAL
MNK
MPC
DIS
CMS
DHR
GGP
BSX
KSU
MUR
NEM
ACN
T
COP
EXPE
UHS
XRX
AIG
INTC
LEG
LYB
MRK
SO
UDR
WU
AFL
EMR
NEE
APH
PG
DVN
HP
EQIX
EXR
INTU
ROST
WY
WYN
MCD
CTAS
DHI
AME
GPN
IFF
BDX
SWN
ABBV
PAYX
XEC
CSX
ADP
KMB
AAP
KMX
HES
LB
TMK
TDG
VZ
CERN
CL
LVLT
VRTX
ADM
FMC
AMT
DD
PNR
TXT
UNP
CA
SHW
WMB
DISCK
FLS
L
M
HCN
AVB
HRL
HUM
NRG
TRV
V
AIZ
COG
EIX
MKC
PGR
APC
FSLR
FCX
PFE
BBT
NFX
GOOG
COH
DVA
GT
PCAR
AES
DE
FB
TAP
NFLX
COST
MO
D
ES
IR
PCG
O
UNH
XYL
BXP
IBM
OMC
COF
LLL
BWA
CELG
ETFC
LKQ
JNJ
IVZ
RHI
ALB
CVX
CAG
TSCO
FOXA
ISRG
PDCO
PLD
CNP
C
KR
EXC
MMC
NSC
FISV
VMC
CHD
CXO
GLW
EXPD
JEC
LH
SNI
UAL
CMI
MS
ATVI
AYI
TGT
KLAC
SWK
TJX
AEP
FTR
GM
AWK
DTE
PCLN
UNM
BK
DFS
ADS
NOC
FOX
FIS
ROK
ESS
PBI
HPE
KMI
A
TDC
GOOGL
DAL
LLTC
AON
BBY
WRK
TRIP
CCI
ITW
PX
SRCL
MAR
SWKS
RSG
STJ
WMT
LOW
ADSK
DLPH
NDAQ
SPLS
BAC
ICE
LRCX
MON
AAL
DISCA
RCL
DG
DPS
BA
DOW
FE
HCP
APA
HSIC
MTB
TGNA
BCR
CAH
FDX
WDC
HD
TXN
AVGO
HRB
STX
SCHW
XRAY
EQT
AMAT
ETN
LMT
SE
AMP
LUK
PH
R
TYC
EBAY
FITB
RHT
AET
EW
GE
LNT
RL
TIF
HPQ
PSA
SBUX
HBAN
VRSK
CNC
MU
MOS
AMG
CTL
IPG
MJN
NWS
DLTR
GD
MAC
CTSH
EMC
KSS
CMCSA
ETR
DO
KEY
MAS
ORLY
XLNX
HBI
COL
BF-B
JBHT
LNC
VIAB
BAX
NTAP
PYPL
PXD
PEG
RRC
ABT
BBBY
CHK
DLR
CAT
RIG
ORCL
PBCT
MLM
URI
ZTS
AJG
CB
MHK
PPL
REGN
JCI
NBL
SEE
SJM
HRS
STZ
KHC
SLB
STI
CPB
IP
ALLE
LLY
NKE
APD
NWSA
WBA
FBHS
SYMC
VFC
EFX
QRVO
SRE
VTR
WAT
GS
UTX
AKAM
EL
DNB
MA
WFM
ABC
FLR
AN
NI
SIG
NWL
VRSN
AZO
TSO
ZION
GPS
HIG
MET
AEE
BLL
CMA
DRI
FL
HOG
MSI
SLG
ALK
AMZN
MCK
BIIB
MSFT
SYF
PSX
USB
VLO
VAR
WM
DOV
HST
MDLZ
ED
HON
CRM
ADBE
BHI
ECL
WLTW
YUM
CF
FAST
MDT
MYL
WYNN
RAI
CTXS
CFG
GRMN
JWN
GPC
MCO
NAVI
PWR
UPS
KO
WHR
CSRA
PEP
NVDA
TSS
GWW
ILMN
HCA
XEL
CME
CBS
ENDP
URBN
CBG
BEN
CVS
LUV
MRO
STT
TMO
